Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Wind Speed
fr,wittelsheim,47.802546,7.236578999999999,48.04,100,0,,3.36
se,kristianstad,56.033333,14.133332999999999,36.99,93,0,,4.7
mx,nicolas bravo,18.45,-88.916667,82.4,78,75,,11.41
hu,szentistvan,47.766667,20.666667,49.38,86,88,,2.17
in,tilhar,27.983333000000002,79.733333,65.8,78,0,,2.84
gr,methoni,36.8166667,21.7,59,82,80,,17.05
ru,belinskiy,52.964739,43.416472,40.83,80,0,,7.87
jp,hisai,34.666667,136.466667,64.4,82,20,,2.24
us,somerville,40.5741667,-74.61027779999999,45.57,39,1,,5.82
mx,isla del bosque,22.733333,-105.85,89.6,59,40,,13.87
it,fiesole,43.8,11.283333,64.4,72,0,,4.7
lt,alytus,54.4,24.05,42.8,93,12,,1.12
hn,rio bonito,14.766666699999998,-87.8833333,73.4,100,20,,4.7
ru,kurovskoye,55.581828,38.919940000000004,51.8,76,0,,4.47
pe,viru,-8.416666699999999,-78.75,66.2,82,40,,9.17
ua,horodyshche,49.284887,31.445134000000003,40.24,76,0,,2.73
ke,yala,0.1,34.533333299999995,61.17,96,44,,3.29
cg,mossendjo,-2.9505556,12.726111099999999,69.58,100,92,,2.39
cu,gibara,21.109722199999997,-76.1316667,78.8,83,75,,19.46
no,tolga,62.416667000000004,11.0,26.6,100,32,,2.24
ro,corni,45.85,27.766666999999998,54.55,95,92,,2.73
ca,saint-tite,46.716667,-72.56666700000001,28.68,54,20,,5.86
de,neubrandenburg,53.566667,13.266667000000002,43.48,97,0,,8.1
ro,barsanesti,46.333333,26.7,48.2,81,0,,3.36
ro,vorniceni,47.983333,26.666666999999997,55.4,66,0,,2.24
at,feldkirchen,46.716667,14.1,50,100,75,,4.7
it,mirano,45.494444,12.104722,60.22,82,0,,5.82
no,brekstad,63.683333,9.683333,45.32,81,75,,21.92
us,los banos,37.0583333,-120.84888889999999,81.79,31,1,,12.75
fr,tarare,45.897614000000004,4.432722,50.43,93,0,,1.12
ru,dvurechensk,56.5982,61.0953,35.6,92,75,,4.47
ru,plast,54.327231000000005,60.867323,31.69,89,68,,6.98
us,westborough,42.2694444,-71.6166667,38.66,51,1,,8.05
us,timberlake,37.320555600000006,-79.2577778,51.4,70,1,,3.06
jp,nabari,34.616667,136.083333,62.51,77,20,,3.36
br,coaraci,-14.633332999999999,-39.533333,73.41,75,0,,6.64
cm,garoua,9.3,13.4,69.31,50,0,,4.18
ru,mayna,54.1135,47.6231,43.84,92,0,,10.89
dk,vejen,55.48117,9.137948,36.9,100,0,,2.24
ie,clane,53.291388899999994,-6.6891667,43.77,87,75,,5.82
hu,vep,47.22537,16.716098000000002,46.4,100,20,,3.4
mx,panuco,24.533333,-104.333333,69.8,56,75,,6.93
us,falmouth,43.7294444,-70.2425,36.36,51,1,,5.82
hr,sisak,45.466111100000006,16.3783333,51.8,93,20,,2.24
cn,bianzhuang,34.848611,118.044722,48.21,62,0,,11.01
us,thompson,41.958611100000006,-71.8630556,39.36,59,1,,7.54
ro,salva,47.3,24.35,44.79,78,76,,2.51
ru,maryanovka,54.961024,72.644149,30.16,96,88,,4.97
gb,alfreton,53.1,-1.383333,41.59,93,0,,3.36
co,el paso,9.660567,-73.747231,77.73,88,32,,3.74
in,gandai,21.666667,81.1,66.25,85,20,,2.73
ro,branistea,44.683333000000005,25.583333,55.4,93,75,,2.24
jp,kitahiroshima,42.975833,141.567222,41,86,20,,3.36
id,wonosari,-7.3061110000000005,110.77388899999998,73.32,98,80,,6.31
pk,begowala,32.437594,74.26824,62.6,72,20,,4.7
am,aygavan,39.8647222,44.6702778,44.6,65,0,,1.12
us,baltimore,39.2902778,-76.6125,49.14,66,5,,5.97
se,lund,55.7,13.183333,38.28,100,0,,2.24
th,hua hin,12.530722,99.880861,78.8,88,75,,2.24
us,oak ridge,28.4708333,-81.4247222,83.55,65,1,,6.93
ua,dvorichna,49.849629,37.68568,43.98,80,0,,6.98
ru,kirsanov,52.654941,42.722361,40.96,78,0,,7.2
in,belur,11.7,78.416667,69.49,99,68,,3.74
pk,mirpur bathoro,24.728613,68.26025600000001,69.63,89,0,,3.18
ru,svobody,44.025556,43.050278000000006,48.2,93,75,,13.42
ru,melekhovskaya,47.48106,40.486689,48.43,96,0,,9.22
it,capurso,41.05,16.916667,59,93,20,,4.7
cn,nanma,36.181667,118.15833300000001,41.01,73,0,,2.62
ru,oktyabrskiy,57.134034,40.325247,44.56,90,0,,10.78
hu,vertesszolos,47.621057,18.381298,50,87,0,,3.36
ph,bontoc,17.0899,120.978,70.03,94,64,,1.95
th,chanthaburi,12.609611,102.104472,78.63,99,64,,4.41
ph,general luna,10.833333,123.566667,77.41,100,64,,3.18
us,columbia,40.0336111,-76.5047222,45.93,57,1,,3.36
mk,rankovce,42.1819444,22.1227778,50,81,0,,1.72
cz,baska,49.64417,18.371902,45.57,93,75,,2.24
in,kalinagar,28.616667,80.1,60.94,81,0,,2.51
in,mandleshwar,22.183332999999998,75.666667,73.4,56,0,,4.7
gb,drymen,56.066667,-4.433333,43.97,87,76,,4.7
br,taruma,-22.75,-50.566666999999995,71.79,89,24,,4.18
us,sturgis,44.4097222,-103.5086111,69.51,46,1,,10.29
ph,matlang,10.8902,124.4554,79.44,100,48,,3.96
ru,basyanovskiy,58.308889,60.739113,32.68,97,92,,4.41
rs,smederevo,44.662778,20.93,55.99,67,0,,1.12
ru,kostek,43.343865,46.854110999999996,49.38,98,0,,4.41
ru,khodz,44.5102,40.7142,40.96,74,0,,2.06
br,irupi,-20.35,-41.633333,68.28,95,92,,2.95
us,clayton,38.6425,-90.3236111,57.79,28,20,,3.36
us,reston,38.968611100000004,-77.34138890000001,47.07,81,1,,6.2
br,vicosa do ceara,-3.566667,-41.083333,81.28,46,0,,10.89
ro,gagesti,46.333333,27.966666999999998,46.54,87,56,,0.16
ph,margosatubig,7.5777,123.1658,79.21,97,48,,2.62
ph,malalag,6.595833,125.39916699999999,77,100,90,,3.36
mx,teloloapan,18.35,-99.85,73.77,58,68,,2.17
us,dearborn heights,42.33694439999999,-83.2733333,47.48,39,1,,4.7
ru,khilok,51.3674,110.4676,25.53,63,0,,4.52
mx,zacualpan,17.083333,-100.333333,81.51,100,76,,4.18
ro,studina,43.966667,24.416667,48.2,87,24,,3.36
ee,palivere,58.97027779999999,23.9033333,42.85,93,0,,7.54
us,coral terrace,25.7455556,-80.3047222,82.4,74,40,,11.41
fr,apt,43.875659999999996,5.392291999999999,58.66,93,0,,2.24
ph,loon,9.7998,123.7929,82.4,78,20,,1.12
in,harpanahalli,14.8,75.983333,69.31,99,88,,2.62
gr,melivoia,39.75,22.8,55.4,87,0,,4.7
ru,novobataysk,46.898056,39.781944,52.26,90,0,,10.78
us,danville,37.8216667,-121.9988889,74.84,28,1,,3.51
us,rosemount,44.7394444,-93.1255556,64.29,58,1,,6.93
ph,cagdianao,9.921111,125.66916699999999,82.32,93,36,,4.97
